[2025-06-10 17:18:54,051] INFO in _client: HTTP Request: GET http://localhost:6333 "HTTP/1.1 200 OK"
[2025-06-10 17:20:14,114] INFO in _client: HTTP Request: GET http://localhost:6333 "HTTP/1.1 200 OK"
[2025-06-10 17:21:48,858] INFO in _client: HTTP Request: GET http://localhost:6333 "HTTP/1.1 200 OK"
[2025-06-10 17:25:50,214] INFO in _client: HTTP Request: GET http://localhost:6333 "HTTP/1.1 200 OK"
[2025-06-10 17:25:50,215] INFO in update_data_usecase: --- Starting full data processing pipeline ---
[2025-06-10 17:25:50,215] INFO in update_data_usecase: Step 1: Running web crawling and HTML parsing.
[2025-06-10 17:25:50,215] INFO in crawler_pipeline: Starting URL collection
[2025-06-10 17:25:51,229] INFO in crawler_pipeline: Collected 430 unique URLs
[2025-06-10 17:25:51,229] INFO in crawler_pipeline: [1/430] Downloading HTML: https://www.deeplearning.ai/the-batch/
[2025-06-10 17:25:51,229] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/.html
[2025-06-10 17:25:51,240] WARNING in article_parser: No content found in regular HTML.
[2025-06-10 17:25:51,241] INFO in crawler_pipeline: [2/430] Downloading HTML: https://www.deeplearning.ai/the-batch/a-solid-foundation-for-a-rewarding-career/
[2025-06-10 17:25:51,241] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/a_solid_foundation_for_a_rewarding_career.html
[2025-06-10 17:25:51,247] INFO in crawler_pipeline: [3/430] Downloading HTML: https://www.deeplearning.ai/the-batch/about/
[2025-06-10 17:25:51,247] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/about.html
[2025-06-10 17:25:51,254] WARNING in article_parser: No content found in regular HTML.
[2025-06-10 17:25:51,254] INFO in crawler_pipeline: [4/430] Downloading HTML: https://www.deeplearning.ai/the-batch/agentic-workflow-generates-novel-scientific-research-papers/
[2025-06-10 17:25:51,254] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/agentic_workflow_generates_novel_scientific_research_papers.html
[2025-06-10 17:25:51,260] INFO in crawler_pipeline: [5/430] Downloading HTML: https://www.deeplearning.ai/the-batch/ai-agents-and-infrastructure-dominate-cb-insights-top-100-ai-startups-list/
[2025-06-10 17:25:51,260] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/ai_agents_and_infrastructure_dominate_cb_insights_top_100_ai_startups_list.html
[2025-06-10 17:25:51,266] INFO in crawler_pipeline: [6/430] Downloading HTML: https://www.deeplearning.ai/the-batch/ai-and-data-center-boom-challenges-big-techs-emissions-targets/
[2025-06-10 17:25:51,266] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/ai_and_data_center_boom_challenges_big_techs_emissions_targets.html
[2025-06-10 17:25:51,271] INFO in crawler_pipeline: [7/430] Downloading HTML: https://www.deeplearning.ai/the-batch/ai-co-scientist-an-agent-that-generates-research-hypotheses-aiding-drug-discovery/
[2025-06-10 17:25:51,271] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/ai_co_scientist_an_agent_that_generates_research_hypotheses_aiding_drug_discovery.html
[2025-06-10 17:25:51,277] INFO in crawler_pipeline: [8/430] Downloading HTML: https://www.deeplearning.ai/the-batch/ai-creates-an-interactive-minecraft-like-world-in-real-time/
[2025-06-10 17:25:51,277] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/ai_creates_an_interactive_minecraft_like_world_in_real_time.html
[2025-06-10 17:25:51,283] INFO in crawler_pipeline: [9/430] Downloading HTML: https://www.deeplearning.ai/the-batch/ai-pharma-jobs/
[2025-06-10 17:25:51,283] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/ai_pharma_jobs.html
[2025-06-10 17:25:51,287] INFO in crawler_pipeline: [10/430] Downloading HTML: https://www.deeplearning.ai/the-batch/ai-predicts-scientific-breakthroughs-using-social-graphs/
[2025-06-10 17:25:51,288] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/ai_predicts_scientific_breakthroughs_using_social_graphs.html
[2025-06-10 17:25:51,293] INFO in crawler_pipeline: [11/430] Downloading HTML: https://www.deeplearning.ai/the-batch/ai-that-unites-us/
[2025-06-10 17:25:51,293] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/ai_that_unites_us.html
[2025-06-10 17:25:51,319] INFO in crawler_pipeline: [12/430] Downloading HTML: https://www.deeplearning.ai/the-batch/albert-gu-more-learning-less-data/
[2025-06-10 17:25:51,319] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/albert_gu_more_learning_less_data.html
[2025-06-10 17:25:51,324] INFO in crawler_pipeline: [13/430] Downloading HTML: https://www.deeplearning.ai/the-batch/alibaba-outdoes-itself-with-latest-open-models/
[2025-06-10 17:25:51,324] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/alibaba_outdoes_itself_with_latest_open_models.html
[2025-06-10 17:25:51,329] INFO in crawler_pipeline: [14/430] Downloading HTML: https://www.deeplearning.ai/the-batch/alibaba-releases-the-qwen3-family-of-open-llms-with-optional-reasoning/
[2025-06-10 17:25:51,329] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/alibaba_releases_the_qwen3_family_of_open_llms_with_optional_reasoning.html
[2025-06-10 17:25:51,334] INFO in crawler_pipeline: [15/430] Downloading HTML: https://www.deeplearning.ai/the-batch/all-about-claudes-new-opus-and-sonnet/
[2025-06-10 17:25:51,334] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/all_about_claudes_new_opus_and_sonnet.html
[2025-06-10 17:25:51,340] INFO in crawler_pipeline: [16/430] Downloading HTML: https://www.deeplearning.ai/the-batch/all-about-the-hollywood-actors-and-studios-deal-on-generative-ai-usage-in-films-and-tv/
[2025-06-10 17:25:51,340] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/all_about_the_hollywood_actors_and_studios_deal_on_generative_ai_usage_in_films_and_tv.html
[2025-06-10 17:25:51,345] INFO in crawler_pipeline: [17/430] Downloading HTML: https://www.deeplearning.ai/the-batch/anthropic-debuts-new-claude-4-sonnet-and-claude-4-opus-models-featuring-top-benchmarks-in-coding/
[2025-06-10 17:25:51,345] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/anthropic_debuts_new_claude_4_sonnet_and_claude_4_opus_models_featuring_top_benchmarks_in_coding.html
[2025-06-10 17:25:51,350] INFO in crawler_pipeline: [18/430] Downloading HTML: https://www.deeplearning.ai/the-batch/brain-implants-paired-with-neural-network-reconstruct-speech-for-als-patient/
[2025-06-10 17:25:51,350] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/brain_implants_paired_with_neural_network_reconstruct_speech_for_als_patient.html
[2025-06-10 17:25:51,356] INFO in crawler_pipeline: [19/430] Downloading HTML: https://www.deeplearning.ai/the-batch/brain2qwerty-a-system-that-decodes-thoughts-using-brain-waves-without-surgery/
[2025-06-10 17:25:51,356] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/brain2qwerty_a_system_that_decodes_thoughts_using_brain_waves_without_surgery.html
[2025-06-10 17:25:51,361] INFO in crawler_pipeline: [20/430] Downloading HTML: https://www.deeplearning.ai/the-batch/build-career-part-5/
[2025-06-10 17:25:51,361] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/build_career_part_5.html
[2025-06-10 17:25:51,365] INFO in crawler_pipeline: [21/430] Downloading HTML: https://www.deeplearning.ai/the-batch/build-career-part-6/
[2025-06-10 17:25:51,365] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/build_career_part_6.html
[2025-06-10 17:25:51,370] INFO in crawler_pipeline: [22/430] Downloading HTML: https://www.deeplearning.ai/the-batch/building-multi-agent-systems-in-rowboats-ide/
[2025-06-10 17:25:51,370] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/building_multi_agent_systems_in_rowboats_ide.html
[2025-06-10 17:25:51,376] INFO in crawler_pipeline: [23/430] Downloading HTML: https://www.deeplearning.ai/the-batch/chatgpt-accepts-voice-image-input-output/
[2025-06-10 17:25:51,376] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/chatgpt_accepts_voice_image_input_output.html
[2025-06-10 17:25:51,381] INFO in crawler_pipeline: [24/430] Downloading HTML: https://www.deeplearning.ai/the-batch/chatgpt-may-ease-loneliness-but-increase-dependence-studies-suggest/
